model,model_display,confidence_measure,threshold,n_metabolites,spearman_mean,spearman_median
gnn,Simplified GNN,train_r2,0.05,117,-0.0316409169484154,-0.03940059227454801
gnn,Simplified GNN,train_r2,0.1,235,-0.027498457198588316,-0.03933958933020136
gnn,Simplified GNN,train_r2,0.25,589,-0.023776159474827113,-0.034647086144394997
gnn,Simplified GNN,train_r2,0.5,1179,-0.021883191036441305,-0.0326093680778805
gnn,Simplified GNN,train_r2,0.75,1769,0.014455019860782261,0.026495554419398895
gnn,Simplified GNN,train_r2,0.9,2123,0.011431397532545892,0.02185061266735839
gnn,Simplified GNN,train_r2,1.0,2359,0.007888224357404673,0.01333364956451617
gnn,Simplified GNN,max_gene_corr,0.05,117,0.09880734981087158,0.1062499327092477
gnn,Simplified GNN,max_gene_corr,0.1,235,0.10202350212575216,0.10675808512712698
gnn,Simplified GNN,max_gene_corr,0.25,589,0.1037578616869878,0.10693340488183745
gnn,Simplified GNN,max_gene_corr,0.5,1179,0.029762037811872578,0.09106516780562081
gnn,Simplified GNN,max_gene_corr,0.75,1769,0.006505372201232013,-0.013760638608784221
gnn,Simplified GNN,max_gene_corr,0.9,2123,0.008822994498768541,0.012385290516607339
gnn,Simplified GNN,max_gene_corr,1.0,2359,0.007888224357404668,0.01333364956451617
gnn,Simplified GNN,obs_rate,0.05,117,0.06709568092147729,0.06311249724670341
gnn,Simplified GNN,obs_rate,0.1,235,0.04829587174228144,0.03405314697028115
gnn,Simplified GNN,obs_rate,0.25,589,0.015748586505406302,0.021616164441988744
gnn,Simplified GNN,obs_rate,0.5,1179,-0.009637974164488146,-0.02987380788544247
gnn,Simplified GNN,obs_rate,0.75,1769,0.028998073740181974,0.05205914937246067
gnn,Simplified GNN,obs_rate,0.9,2123,0.02245170899073506,0.027812876607001175
gnn,Simplified GNN,obs_rate,1.0,2359,0.007888224357404668,0.01333364956451617
gnn,Simplified GNN,coef_var,0.05,117,-0.013375811482521247,0.011075198217386695
gnn,Simplified GNN,coef_var,0.1,235,0.0038242897135651707,0.01703580647202238
gnn,Simplified GNN,coef_var,0.25,589,0.024483836688272483,0.038152425079287886
gnn,Simplified GNN,coef_var,0.5,1179,-0.00468733622859359,-0.019213326712935432
gnn,Simplified GNN,coef_var,0.75,1769,-0.00897868046729745,-0.02646173654731991
gnn,Simplified GNN,coef_var,0.9,2123,-0.00016956095053302558,-0.010018091097516465
