model,model_display,threshold,n_metabolites,spearman_mean,spearman_median
gnn,Simplified GNN,0.05,117,0.16550165030542366,0.15047746820073157
gnn,Simplified GNN,0.1,235,0.14453791153010703,0.128862688747312
gnn,Simplified GNN,0.25,589,0.12376343497510246,0.11566311498577171
gnn,Simplified GNN,0.5,1179,0.09223008256357025,0.10190106531044056
gnn,Simplified GNN,0.75,1769,0.049074870636365786,0.058081105396098696
gnn,Simplified GNN,0.9,2123,0.02433365663493473,0.027812876607001175
gnn,Simplified GNN,1.0,2359,0.007888224357404664,0.01333364956451617
kernel_mkl,Kernel MKL,0.05,117,0.1722088456667405,0.16499221638086733
kernel_mkl,Kernel MKL,0.1,235,0.1445743222059693,0.13112494513264272
kernel_mkl,Kernel MKL,0.25,589,0.11972960624201034,0.10670934387888398
kernel_mkl,Kernel MKL,0.5,1179,0.0910927980375395,0.09816099635108419
kernel_mkl,Kernel MKL,0.75,1769,0.051985601020304716,0.06611548806220874
kernel_mkl,Kernel MKL,0.9,2123,0.028028475085184554,0.028011128770112432
kernel_mkl,Kernel MKL,1.0,2359,0.011198203389283687,0.017655449043259105
lasso,Lasso,0.05,117,0.17166421784714708,0.15895315543150992
lasso,Lasso,0.1,235,0.1498962075479562,0.13432964615711437
lasso,Lasso,0.25,587,0.13022798601129798,0.12140734796500355
lasso,Lasso,0.5,1175,0.09974903807553083,0.11051990055707578
lasso,Lasso,0.75,1762,0.06114873974463376,0.06949587236455565
lasso,Lasso,0.9,2115,0.036958024191705796,0.0334915366324971
lasso,Lasso,1.0,2350,0.018815290051581137,0.0222663104747243
mirth,MIRTH,0.05,117,0.17130992290140296,0.1624652558144233
mirth,MIRTH,0.1,235,0.14403109928767285,0.13094024521565686
mirth,MIRTH,0.25,589,0.11919550809346306,0.10618075393537069
mirth,MIRTH,0.5,1179,0.09070736993738858,0.09746878727573748
mirth,MIRTH,0.75,1769,0.051818795079947196,0.06527780217381894
mirth,MIRTH,0.9,2123,0.02783353843616441,0.028482918612767406
mirth,MIRTH,1.0,2359,0.011043244887401446,0.017545111937376977
ridge,Ridge,0.05,117,0.1733004473784732,0.1630779746612312
ridge,Ridge,0.1,235,0.1503208976771639,0.13375443514048452
ridge,Ridge,0.25,587,0.12820874441840757,0.11889782599251901
ridge,Ridge,0.5,1175,0.09707348770681855,0.10580903084277432
ridge,Ridge,0.75,1762,0.057587136768083635,0.06939428144397684
ridge,Ridge,0.9,2115,0.03337415137533794,0.030837020953660886
ridge,Ridge,1.0,2350,0.015373996491034988,0.01974664877703207
unigraph,UniGraph,0.05,117,0.16601501130676022,0.15168424955117477
unigraph,UniGraph,0.1,235,0.14358463688798764,0.128055581183859
unigraph,UniGraph,0.25,589,0.12334336120810538,0.11333136092024437
unigraph,UniGraph,0.5,1179,0.0912136509613798,0.10397132032806114
unigraph,UniGraph,0.75,1769,0.04771736178531878,0.05482837625680553
unigraph,UniGraph,0.9,2123,0.022946029932372925,0.023454572423335703
unigraph,UniGraph,1.0,2359,0.006566775458222424,0.012136258987613915
unitedmet,UnitedMet,0.05,117,0.16528740044600537,0.1523269415832882
unitedmet,UnitedMet,0.1,235,0.14393153705022338,0.1294134740216698
unitedmet,UnitedMet,0.25,589,0.12346457549573063,0.11476037029106323
unitedmet,UnitedMet,0.5,1179,0.09176131842236061,0.1028781977402008
unitedmet,UnitedMet,0.75,1769,0.04839274594049544,0.05948516973807886
unitedmet,UnitedMet,0.9,2123,0.02350776219993438,0.02419995020922549
unitedmet,UnitedMet,1.0,2359,0.007074046335162115,0.012073954110334071
xgboost,XGBoost,0.05,117,0.17265184115232057,0.16059043033589798
xgboost,XGBoost,0.1,235,0.14897006267911558,0.13417926411895834
xgboost,XGBoost,0.25,587,0.12718357191886537,0.11720067695398928
xgboost,XGBoost,0.5,1175,0.09789269557812597,0.10559277066149834
xgboost,XGBoost,0.75,1762,0.059359905543288384,0.07502322881948277
xgboost,XGBoost,0.9,2115,0.03535247528441718,0.03224071946557573
xgboost,XGBoost,1.0,2350,0.017217228153738863,0.021604103750792525
