pathway,model,model_display,mean_rho,median_rho,n_mets
Lipid,unigraph,UniGraph,0.060944570397663995,0.103337477602054,858
Lipid,unitedmet,UnitedMet,0.061359703972441094,0.10216448314230217,858
Lipid,gnn,Simplified GNN,0.0624420635072241,0.10127765306745436,858
Lipid,xgboost,XGBoost,0.07003555453335059,0.1043302679511953,857
Lipid,lasso,Lasso,0.07390670714373922,0.11007276865567346,857
Lipid,ridge,Ridge,0.07026765082254553,0.10598040506952185,857
Lipid,mirth,MIRTH,0.06246678831743778,0.09684077166708459,858
Lipid,kernel_mkl,Kernel MKL,0.06267009155686995,0.09741287705266306,858
Nucleotide,unigraph,UniGraph,-0.029959222411267472,-0.03006955122427915,83
Nucleotide,unitedmet,UnitedMet,-0.030067112416863325,-0.03512101777787932,83
Nucleotide,gnn,Simplified GNN,-0.026387026264975785,-0.031977240685141996,83
Nucleotide,xgboost,XGBoost,-0.007694488439624041,-0.004693610017474567,83
Nucleotide,lasso,Lasso,-0.008926898912271698,-0.0014571120437324174,83
Nucleotide,ridge,Ridge,-0.01208773583556933,-0.009117266599189806,83
Nucleotide,mirth,MIRTH,-0.016038631959429853,-0.013925921696078541,83
Nucleotide,kernel_mkl,Kernel MKL,-0.016311865916632088,-0.01761356545004619,83
Amino Acid,unigraph,UniGraph,-0.034438589732410534,-0.0407037507620531,147
Amino Acid,unitedmet,UnitedMet,-0.034044217015699055,-0.04066547114219935,147
Amino Acid,gnn,Simplified GNN,-0.033933206313869355,-0.03788978676248844,147
Amino Acid,xgboost,XGBoost,-0.009347721662175113,-0.01866392956162955,147
Amino Acid,lasso,Lasso,-0.010316721927069887,-0.017529587942698457,147
Amino Acid,ridge,Ridge,-0.014448487522667485,-0.020336926890957573,147
Amino Acid,mirth,MIRTH,-0.022068232820821446,-0.026265615548705212,147
Amino Acid,kernel_mkl,Kernel MKL,-0.0218147778603255,-0.0248781081837384,147
Xenobiotics,unigraph,UniGraph,-0.018394619971871314,-0.032196438234097485,111
Xenobiotics,unitedmet,UnitedMet,-0.016838582301876844,-0.03181626016423581,111
Xenobiotics,gnn,Simplified GNN,-0.017291015505443413,-0.03174778917378951,111
Xenobiotics,xgboost,XGBoost,0.0016520556633876336,-0.006706963124814764,109
Xenobiotics,lasso,Lasso,0.002545393957107926,-0.004202588192775213,109
Xenobiotics,ridge,Ridge,-0.000850859249765459,-0.011594514342976545,109
Xenobiotics,mirth,MIRTH,-0.0054396159587814415,-0.01410834117641432,111
Xenobiotics,kernel_mkl,Kernel MKL,-0.005704690836631127,-0.014549140109658968,111
Carbohydrate,unigraph,UniGraph,0.02880948895491863,0.02943086992847381,81
Carbohydrate,unitedmet,UnitedMet,0.0246102870021982,0.0342715877041553,81
Carbohydrate,gnn,Simplified GNN,0.026536329163060753,0.03033560987559539,81
Carbohydrate,xgboost,XGBoost,0.042065331870410526,0.03544482053000942,79
Carbohydrate,lasso,Lasso,0.038969419142874245,0.026655901549067825,79
Carbohydrate,ridge,Ridge,0.039082266126122464,0.042083805160215676,79
Carbohydrate,mirth,MIRTH,0.03232353236540253,0.026057493649924043,81
Carbohydrate,kernel_mkl,Kernel MKL,0.033177674106497884,0.027145262411251512,81
Amino acid,unigraph,UniGraph,-0.0021261329001564734,0.006688901359651911,78
Amino acid,unitedmet,UnitedMet,0.0006759067442229192,0.01556015036319392,78
Amino acid,gnn,Simplified GNN,0.0008590390189651143,0.013311678041365127,78
Amino acid,xgboost,XGBoost,0.02758718770263251,0.03465422535221309,76
Amino acid,lasso,Lasso,0.02201985699917782,0.03817448329845828,76
Amino acid,ridge,Ridge,0.02399453282833736,0.03273813011035828,76
Amino acid,mirth,MIRTH,0.017112871185111286,0.026125762806503347,78
Amino acid,kernel_mkl,Kernel MKL,0.017588606603828463,0.025022224993113823,78
Cofactors and Vitamins,unigraph,UniGraph,-0.04204139397819135,-0.04732789078604502,59
Cofactors and Vitamins,unitedmet,UnitedMet,-0.038446336085812945,-0.047261219603447605,59
Cofactors and Vitamins,gnn,Simplified GNN,-0.038376329874042076,-0.043854708910873,59
Cofactors and Vitamins,xgboost,XGBoost,-0.019239146455377238,-0.030287958279052823,59
Cofactors and Vitamins,lasso,Lasso,-0.022026373441072864,-0.022094501378201434,59
Cofactors and Vitamins,ridge,Ridge,-0.02488742951183944,-0.03571708374993299,59
Cofactors and Vitamins,mirth,MIRTH,-0.029982072787849572,-0.034347943438437153,59
Cofactors and Vitamins,kernel_mkl,Kernel MKL,-0.030537085542560332,-0.0361845274000402,59
Energy,unigraph,UniGraph,0.009261513450894215,-0.00763990703977326,15
Energy,unitedmet,UnitedMet,0.007251560451732046,0.0013848126478196066,15
Energy,gnn,Simplified GNN,0.007257743111625377,-0.008847884726693437,15
Energy,xgboost,XGBoost,0.02118576177108141,0.008293564518325029,15
Energy,lasso,Lasso,0.01887045031384417,0.0030677036607319533,15
Energy,ridge,Ridge,0.018395159294754982,-0.0007211129913692822,15
Energy,mirth,MIRTH,0.017075675339428983,-0.00219691180247476,15
Energy,kernel_mkl,Kernel MKL,0.017521279284477557,-0.002551337177809626,15
Peptide,unigraph,UniGraph,-0.05719874848485212,-0.10534666908575449,167
Peptide,unitedmet,UnitedMet,-0.055379708800465124,-0.10585860586806037,167
Peptide,gnn,Simplified GNN,-0.05617180384952764,-0.10531118608545836,167
Peptide,xgboost,XGBoost,-0.05160405174989921,-0.09271207469833018,165
