metabolite,super_pathway,sub_pathway,rho_gnn,rho_kernel_mkl,rho_lasso,rho_mirth,rho_ridge,rho_unigraph,rho_unitedmet,rho_xgboost,train_r2_gnn,obs_rate_gnn,coef_var_gnn,max_gene_corr_gnn,network_mapped_gnn,posterior_var_unigraph,obs_rate,coef_var,max_gene_corr,network_mapped
(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",-0.08590111505362603,-0.06306567843296226,-0.08184216286996587,-0.06430758477084877,-0.07221598596825603,-0.10492248722562166,-0.10337677443150643,-0.07841468404283346,0.37500012329031535,0.3481675392670157,0.4095361144281139,0.5848088019340327,0.0,55.29317801047121,0.3481631290368145,0.40806645419439885,0.592870550712515,0.0
(3'-5')-adenylyladenosine,,,-0.08385981609343836,-0.07633947364423356,-0.05369988372667127,-0.0766400483190254,-0.05619668493054726,-0.08911550367469548,-0.07602790064114331,-0.050075985973529885,0.37500012329031535,0.23167539267015708,0.13043452674192327,0.8097395651748842,0.0,57.46395392670159,0.23167302284371508,0.13080559497790933,0.8015573713490965,0.0
(3'-5')-adenylyluridine,Nucleotide,Dinucleotide,-0.16597567422119708,-0.14691085593982922,-0.1234892407170197,-0.14888100730234197,-0.14113738969899595,-0.17851709340357172,-0.17128282532922542,-0.13268291809783975,0.37500012329031535,0.14397905759162305,0.16251361527926345,0.6573430893700899,0.0,51.01707434554971,0.1439770407180554,0.16361318835546987,0.6623850254274228,0.0
(3'-5')-cytidylyluridine,,,-0.028465305708878477,-0.01653592480128733,0.0026425783356362155,-0.015201778217401424,-0.005840710845512435,-0.0388545103510393,-0.03225217741860152,0.006540970845310506,0.37500012329031535,0.1950261780104712,0.10059084050496175,0.815969547810601,0.0,53.78081884816753,0.19502035260731665,0.10126445376064741,0.8132424272817969,0.0
(3'-5')-uridylylcytidine,,,-0.19954306588284,-0.18792589098772988,-0.16679345685441951,-0.18572430781957922,-0.19390193626168958,-0.2046339035151756,-0.20125855364346668,-0.17958237483811618,0.37500012329031535,0.07591623036649214,0.048011875531779866,0.6192906669374183,0.0,68.13290680628268,0.07591586732924997,0.0493901145877871,0.6342543139330147,0.0
(3'-5')-uridylyluridine,Nucleotide,Dinucleotide,-0.18951505798989526,-0.18566474928892363,-0.17779501731712818,-0.18549247535202595,-0.18828009533399098,-0.20039709835679753,-0.19780735474472363,-0.1804560850624968,0.37500012329031535,0.07591623036649214,0.06708250001069589,0.6286652501518,0.0,63.84227748691101,0.07591586732924997,0.06666391208997945,0.6337486788954297,0.0
(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,-0.0607470959044227,-0.0752472880345332,-0.03842039194113817,-0.07528054278639978,-0.059872663704760506,-0.08538877034526632,-0.08844805947400416,-0.05754892007988633,0.37500012329031535,0.23167539267015708,0.11728204998003375,0.8155561107191487,1.0,0.0,0.23167302284371508,0.11746918214487327,0.8065052323340017,1.0
(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",-0.0968321971612587,-0.061328237480890384,-0.05946104959822956,-0.06548126381121337,-0.04678019116754712,-0.08985411029571816,-0.07833745475474156,-0.05606870934211753,0.37500012329031535,0.23167539267015708,0.11301480603361677,0.821130049180129,0.0,61.162123560209444,0.23167302284371508,0.11291430428949173,0.812308803102376,0.0
(S)-a-amino-omega-caprolactam,Xenobiotics,Food Component/Plant,-0.03550259321489295,-0.023654797972776278,-0.019145485942560426,-0.023252076328206587,-0.023351733838424586,-0.045325252153219885,-0.04012524076113945,-0.003748004140652644,0.37500012329031535,0.06806282722513088,0.07275616911533997,0.5845601540940657,0.0,77.89966806282726,0.06806117338880542,0.07193740987095341,0.579505866505149,0.0
"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,-0.04336092596711421,-0.0036906873418771947,0.0077722880480517054,-0.005856692773404161,-0.018061575010828997,-0.026976699236887728,-0.03649845685770276,-0.0004120861744524392,0.37500012329031535,0.1950261780104712,0.16603062516114409,0.8091780643678285,0.0,60.377015706806304,0.19502035260731665,0.1654192587270835,0.8081680274255492,0.0
"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),-0.07927419497393424,-0.06758173087755057,-0.04326075488031415,-0.06985904510491152,-0.061158969483910516,-0.08649360398467143,-0.08052630146604076,-0.040210113281676486,0.37500012329031535,0.23167539267015708,0.08648713687940446,0.8224439828950298,0.0,58.55785340314135,0.23167302284371508,0.08649237060163849,0.8140979528116149,0.0
"1,2-dilinoleoyl-GPE (18:2/18:2)",,,-0.08788111366015063,-0.06767402825301821,-0.06408002609138322,-0.06983569940825786,-0.05644503822937754,-0.07519149202186573,-0.08113861332285556,-0.05532303188411198,0.37500012329031535,0.23167539267015708,0.11421729463559233,0.8154907626338621,0.0,55.05489424083771,0.23167302284371508,0.11443274591746648,0.8078485027983974,0.0
"1,2-dioleoyl-GPC (18:1/18:1)",Lipid,Phosphatidylcholine (PC),-0.13294413795035026,-0.14340164331506305,-0.17320842802522948,-0.14201382351849565,-0.16707735644805638,-0.14161754005108507,-0.13216882515358377,-0.17316318026451233,0.37500012329031535,0.03664921465968586,0.01849792813737024,0.6991613598323627,0.0,66.67907015706807,0.03665267023639842,0.01836633302531635,0.7100647453664668,0.0
"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),-0.09408239969938127,-0.06862281795040696,-0.06702009610791414,-0.0653651435324671,-0.06767469259949613,-0.09750160574126124,-0.09465543323591159,-0.06329630310127594,0.37500012329031535,0.23167539267015708,0.09100398777034296,0.818955993810895,0.0,42.17787225130891,0.23167302284371508,0.09080618220383707,0.8108796957384935,0.0
"1,2-dipalmitoyl-GPE (16:0/16:0)",,,0.011481039508862043,0.00849293841257005,0.06088631450433364,0.012549024280982635,0.025157129357484317,-0.01266990254125434,-0.012059802622255091,0.035114267619114216,0.37500012329031535,0.3285340314136126,0.11175817281396272,0.8065419265949677,0.0,59.96847120418849,0.32853730883316,0.11163567368931171,0.8306353769075102,0.0
"1,2-dipalmitoylglycerol",Lipid,Diacylglycerol (DG),-0.08710374439252867,-0.09268428278452198,-0.08365537389948505,-0.09343093355222001,-0.09015537486736785,-0.09186309778233673,-0.09528131139325186,-0.08518794587980671,0.37500012329031535,0.17539267015706805,12.573217879851427,0.1159368243901789,0.0,72.9799790575916,0.17538811202280521,123.0009311678427,0.08408205441113126,0.0
"1,2-propanediol",Lipid,Ketone bodies,0.1543356717310627,0.11206530958509603,0.15491864335316366,0.11417740955052623,0.1312304076950352,0.14178345176464116,0.14497154871237347,0.14011641089624446,0.37500012329031535,0.5013089005235603,38.42045086568698,0.09961111513930501,1.0,0.0,0.5013123258471692,28.90510515716851,0.09372905163917838,1.0
"1,3-dihydroxyacetone",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",-0.06326094255019889,-0.06735954815179052,-0.07122364772620471,-0.06801027463492225,-0.05544922666811548,-0.07636089176830559,-0.06885517013632737,-0.07147492622529214,0.37500012329031535,0.23821989528795812,0.2640320044215854,0.4423401086452868,1.0,0.0,0.23822437947019015,0.2645436916677035,0.4404801780420795,1.0
"1,3-dipalmitoylglycerol",Lipid,Diacylglycerol (DG),0.13910981082885962,0.13829254904385518,0.14876525905323407,0.13851430529194184,0.13682463649387022,0.15568864666201368,0.16989058289540568,0.13504676312558936,0.37500012329031535,0.25916230366492143,2.497282804308708,0.2548595976715661,0.0,71.53487958115178,0.2591535369878141,2.448439043285242,0.2661768777851894,0.0
"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",-0.003831799411778446,0.04645762366972814,0.026655901549067825,0.042928629978503906,0.03731939793200917,0.014276613766553689,0.014482419691667905,0.025657211447988767,0.37500012329031535,0.6714659685863875,3.160181908956381,0.17817690387222074,0.0,53.60747958115185,0.6714588389383259,3.943096595801517,0.09975011968865764,0.0
"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism,0.13656904424214364,0.14698058199211916,0.12536428567587413,0.14343204107760543,0.14575662228898725,0.1266030199417495,0.1225087757645085,0.14578667026331066,0.37500012329031535,0.31413612565445026,1.609881300095973,0.3155984670080948,0.0,60.8225036649215,0.314123553809212,1.6134200864391197,0.32993642977894244,0.0
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1),,,-0.13923537423337096,-0.143030067800749,-0.16130826695662046,-0.14435362393441742,-0.16743933853379353,-0.13471262339697943,-0.13354155436663048,-0.15626314163665883,0.37500012329031535,0.03664921465968586,0.025868192569337783,0.6977814988014348,0.0,70.93543246073301,0.03665267023639842,0.025646107761712663,0.7094927816614671,0.0
1-(1-enyl-oleoyl)-GPE (P-18:1),,,-0.04869254510876073,-0.025795585429711016,-0.014668513584347738,-0.024581294771545397,-0.031777783797701936,-0.05599411979350533,-0.05335788351166065,-0.010748330860287245,0.37500012329031535,0.31282722513089,0.15197661049510364,0.8882256420301553,0.0,51.150989528795826,0.31282535279992807,0.1522199592414434,0.8806351786627303,0.0
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4),,,0.002051780818044032,0.02353168337068196,0.02980999708882367,0.022045603878824736,0.015999548452371126,0.004331404795536026,0.0050865099226505,0.016108403583836504,0.37500012329031535,0.3285340314136126,0.07864003120308688,0.8117888546352332,0.0,61.15129738219895,0.32853730883316,0.07855865620823489,0.8319968713844098,0.0
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4),,,-0.007916867845737653,0.023844194447703936,0.04448902393315973,0.024435191658924587,0.028244257265292366,0.016857037159299208,0.009735374444722536,0.03462533700784038,0.37500012329031535,0.3285340314136126,0.0809802829049408,0.8116351170746274,0.0,50.663812565445006,0.32853730883316,0.08086401021879515,0.8316637163855479,0.0
