rank,metabolite,super_pathway,sub_pathway,rho_gnn,rho_kernel_mkl,rho_lasso,rho_mirth,rho_ridge,rho_unigraph,rho_unitedmet,rho_xgboost,obs_rate,max_gene_corr,coef_var,network_mapped
1,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.23651215744579768,0.2510565444323334,0.263866300418605,0.24695257568698273,0.27867028697045254,0.27898266721331305,0.20441854440340584,0.2851034738687433,1.0,0.1917403805814466,4.391297140502973,1.0
2,guanosine 5'-diphospho-fucose,Nucleotide,"Purine Metabolism, Guanine containing",0.24265496347569843,0.24035724115847218,0.24875650514575634,0.24126862644156363,0.2520163979952932,0.23011524325700458,0.23951702847527787,0.2564292783007028,0.45156464681484904,0.5381579204784454,0.7949977172379622,0.0
3,maltose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",0.31148208419147966,0.289414853127967,0.24655074447839603,0.290460383175518,0.27252793583586726,0.3214346107439388,0.2020406891191362,0.2052483760219526,0.9515710671957059,0.16678385404290122,5.609517316268557,1.0
4,fructose-6-phosphate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.2859199344279742,0.24428127936965133,0.23823342878532142,0.24011480772135146,0.232827576460128,0.219940969885348,0.20520432184371812,0.23036437654195865,0.719898044351991,0.20596961517211435,3.465095166658106,0.0
5,1-arachidoylglycerophosphocholine,Lipid,Lysolipid,0.24687820003520716,0.23655136601108498,0.23793723053327245,0.23768420848249444,0.23534520912619283,0.2460589698624811,0.25825200089121036,0.23882864040222887,0.21596748719134018,0.4173205371895401,1.0738476968609467,0.0
6,glucose 6-phosphate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.2569291901767309,0.28827908041889133,0.23433222441169588,0.28962345340273304,0.2865484617848387,0.2324899173126847,0.15997003509718732,0.2679031475969818,1.0,0.16669155270568994,4.20852593464415,0.0
7,cysteinylglycine,Peptide,Dipeptide,0.19714633052290048,0.2222815142985029,0.2244324211588989,0.21832413939840012,0.20595698568209422,0.15460685517786313,0.1595540222722984,0.22238003865880496,0.5471153228809532,0.16808997942331813,20.45296758770571,1.0
8,gluconate,Carbohydrate,"Nucleotide sugars, pentose metabolism",0.23660645852784673,0.24661228902854163,0.22404946463066913,0.24990899890407653,0.2002711506354395,0.21675885510998333,0.2368272755146042,0.2260385983797894,1.0,0.13812314110895454,9.32673828450319,1.0
9,pyroglutamylvaline,Peptide,Dipeptide,0.20100024915610853,0.21026063862578306,0.21838454163057722,0.21217122545333905,0.2125077203463056,0.21663204439480868,0.2125960832694489,0.20439602723310377,0.11910320120189528,0.24130441086611132,2.236707602169746,0.0
10,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid,0.19151287148151086,0.17582494876825486,0.2179964417782665,0.17659358442011674,0.2114063871174077,0.17608511800572105,0.1624813189531494,0.18657303617272786,0.8547067812062612,0.14257693406946023,5.635812408002649,0.0
11,tryptophylalanine,Peptide,Dipeptide,0.19992949086344888,0.21565310991193581,0.2171187828688441,0.21642840765518104,0.2029886823254836,0.21021766748296433,0.22305654582371634,0.19639925289061969,0.11910320120189528,0.47889666310108875,0.6657514057659517,0.0
12,2-arachidonoyl glycerol,Lipid,Monoacylglycerol,0.24509475256920163,0.24814338299272773,0.21660567804528705,0.24716928666966617,0.2468624310487547,0.21230523270649174,0.23494777687011864,0.22057814439937004,0.6151764962697587,0.5415463497764629,0.9622726835757796,1.0
13,p-cresol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism,0.17738516847162047,0.16883603288050147,0.2134499649414712,0.17295007014510738,0.1479019571366155,0.15511345028687012,0.17036886480237276,0.18627239363513218,0.8547067812062612,0.09839416496405347,21.184183717675186,1.0
14,1-palmitoleoylglycerophosphoethanolamine,,,0.2060307205703258,0.20287036179392415,0.2131339116223746,0.20264059714736374,0.21826461741176387,0.20176687323870435,0.19530285236431466,0.21015954558305736,0.11910320120189528,0.27985974056584995,1.7319622231589034,0.0
15,laurylcarnitine,Lipid,Carnitine Metabolism,0.20515503917898625,0.1789116991290617,0.21201091566069133,0.17097262230093374,0.1815435107603865,0.1976969842946684,0.17658555511056964,0.2243472620422573,0.6557584395906365,0.5399455319114813,1.017191964875891,1.0
16,mead acid (20:3n9),Lipid,Long Chain Fatty Acid,0.19903118387533703,0.17527207395806652,0.21097105083220646,0.1712889039773594,0.20118904488457975,0.16739551637305541,0.20176400423972637,0.21985067346281217,0.6609820614558856,0.09635791809158854,8.886595342759371,1.0
17,N-acetylgalactosamine,Carbohydrate,Aminosugar Metabolism,0.20943907037362663,0.209114123730695,0.210297438388602,0.20116923839019163,0.2071147144977349,0.22314715904325627,0.22476064219390982,0.2050548025183772,0.11910320120189528,0.18580240635653325,3.179464882862949,1.0
18,pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.17475039563133735,0.17992692731599563,0.2099343537624486,0.17796902619950725,0.18688898651983543,0.1757527458354725,0.1814959567562514,0.16683161290818876,0.6439770407180553,0.42642790384300183,1.2462990574700723,1.0
19,maltotetraose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",0.22321952575993836,0.22295487439777162,0.20869921119897117,0.22172588496948484,0.20751549133759206,0.2407524055777496,0.18119197525303687,0.1906839504640601,0.8180541109698627,0.13079740780251622,9.19406646983102,1.0
20,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),Lipid,Sterol/Steroid,0.1553238710851288,0.20729784765300668,0.2056281147167898,0.20618321696983838,0.20946492563733624,0.16695940806737722,0.20455072092912094,0.1966712607706795,0.8193690049693748,0.11484731160846597,14.004707067855996,0.0
21,4-hydroxy-2-oxoglutaric acid,Lipid,"Fatty Acid, Dicarboxylate",0.1993133451341024,0.21841649388419682,0.2043410644972197,0.2166158689758466,0.20955201539503387,0.2122830327185823,0.21783498925213324,0.2044315756338988,0.11910320120189528,0.4915911546105948,0.6109595988426367,1.0
22,"cys-gly, oxidized",Amino Acid,Glutathione Metabolism,0.20133661750880344,0.20224285841010198,0.20428923624096829,0.2022284738214002,0.20144614172270037,0.21686417129974483,0.20985241163588006,0.20215936947973168,0.11910320120189528,0.3603854493560501,1.1880622315013676,0.0
23,1-dihomo-linoleoylglycerophosphocholine (20:2n6),,,0.18956561739232983,0.19515336726740087,0.20385251152271183,0.19744573030232532,0.20246360403073982,0.1936604598208496,0.2069315880276536,0.1998204312348744,0.20025553115810832,0.4633079926797081,0.9255468473932863,0.0
